,From,To,Volume
73,52,27,3834.9960378789538
74,27,58,125.6228494525318
75,58,27,147.8370526711173
76,28,30,79.86471737421869
77,30,28,134.3581733954155
78,28,34,0.0
79,34,28,0.0
80,28,37,0.0
81,37,28,0.0
82,28,40,685.8911459481563
83,40,28,658.3189954829712
84,28,42,578.4542781087525
85,42,28,551.5329725527408
86,29,33,4964.593655953479
87,33,29,4997.7319935583355
88,29,37,41.89247651169682
89,37,29,70.86557520083461
90,29,39,3167.609425944708
91,39,29,3038.1711303095253
92,29,42,1407.1794522243122
93,42,29,1111.445151653791
94,30,40,9036.18407960338
95,40,30,8183.474495873938
96,30,42,5368.412453694394
97,42,30,5524.424182959837
98,30,50,3969.80514987713
99,50,30,3736.411111932552
100,30,51,5046.149352753985
101,51,30,5010.373384013252
102,31,33,2640.068897532466
103,33,31,2995.144513461595
104,31,39,5065.679137816527
105,39,31,4891.785768408524
106,31,42,2715.0479204285184
107,42,31,2636.926580709226
108,31,60,3188.2274846065043
109,60,31,3085.1665778046745
110,32,41,5363.66651624085
111,41,32,5405.8815872293635
112,32,45,3725.061649143564
113,45,32,3524.793260435594
114,32,52,6349.5642940316775
115,52,32,6361.132549686256
116,32,63,1193.7495528924214
117,63,32,1330.0977258244757
118,33,39,3569.6327770675143
119,39,33,2932.52252232357
120,33,52,618.6763491305607
121,52,33,599.3280311904135
122,33,60,4797.17334885722
123,60,33,4333.834333456535
124,34,35,961.3782188321039
125,35,34,772.8311276400162
126,34,40,264.29995079419473
127,40,34,287.3749861260246
128,34,44,180.85563867804927
129,44,34,198.49676852647232
130,34,50,666.1869583156443
131,50,34,814.0178843274787
132,35,44,3072.7040727023104
133,44,35,3716.6902563334424
134,35,47,623.7627456519579
135,47,35,565.8680559174326
136,35,49,142.41075085121884
137,49,35,130.17807062299522
138,36,38,79.8732038027689
139,38,36,75.6414489939116
140,36,43,6489.42592312492
141,43,36,6964.54070392431
142,36,46,4689.800536866754
143,46,36,4741.795421553816
144,36,61,5638.871007683628
145,61,36,5379.008674634182
146,36,62,1972.2386945156386
147,62,36,1751.902699016673
148,36,65,183.56942590497553
149,65,36,140.88984377579484
150,37,42,0.0
151,42,37,0.0
152,37,58,194.8880593733487
153,58,37,215.33491439938499
154,38,59,28.05129567734777
155,59,38,25.841612164609128
156,38,62,188.92290955716936
157,62,38,140.73719334815092
158,38,65,145.3127125179475
159,65,38,191.47635743084726
160,39,42,6988.016179911195
161,42,39,6753.90684928764
162,40,50,3961.0132534622176
163,50,40,3854.6304243770724
164,41,48,2335.1775069684318
165,48,41,2477.734794095277
166,41,53,898.7415206136926
167,53,41,930.9839410002584
168,41,63,1693.8653805872848
169,63,41,1497.3666074263651
170,41,64,3189.7100545950084
171,64,41,3249.984363429506
172,42,51,4457.929899231213
173,51,42,4238.809917045577
174,42,60,1652.7088813907737
175,60,42,1392.9543163724586
176,43,49,6481.064124849259
177,49,43,6010.397296436036
178,43,52,4.237177170311494
179,52,43,22.314824786767602
180,43,54,5271.936968175266
181,54,43,4891.600678783054
182,43,55,2067.635686291844
183,55,43,1639.5161792295269
184,43,61,2964.0855024232674
185,61,43,2855.774372835035
186,43,62,50.578089750781764
187,62,43,37.70580856525656
188,44,49,9821.151602511209
189,49,44,9300.898083413425
190,44,50,708.3328564614463
191,50,44,997.6983793169998
192,44,51,13268.123158589731
193,51,44,13729.274145967904
194,44,54,7537.814816395828
195,54,44,7916.054568279559
196,44,60,1144.2770361247622
197,60,44,1197.4016065846765
198,45,52,57.85052841972319
199,52,45,51.97569588212023
200,45,53,196.66083146541928
201,53,45,188.70642847500636
202,45,58,189.9051005727012
203,58,45,159.54554693011832
204,45,63,1706.4237566345214
205,63,45,1756.3248189040635
206,46,56,2791.7274891255865
207,56,46,3207.298217352016
208,46,59,2815.916006758885
209,59,46,2809.655733829148
210,46,61,6515.221357506202
211,61,46,6314.114986424771
212,46,65,6262.790130977883
213,65,46,6106.580931449683
214,47,49,935.4937214015125
215,49,47,1003.448169989271
216,47,62,911.835033788321
217,62,47,785.9858954660372
218,48,57,833.3232510938541
219,57,48,802.3398040577574
220,48,64,1353.35656784669
221,64,48,1095.23627220139
222,49,54,2480.438244615981
223,54,49,2812.4128730665952
224,49,62,2126.046018866312
225,62,49,2188.524361269441
226,50,51,7624.4365920828295
227,51,50,7721.856173920489
228,51,60,6509.80318987748
229,60,51,6674.481953757758
230,52,54,1898.236634685087
231,54,52,1664.525230913335
232,52,55,6409.006256368067
233,55,52,7232.940531110442
234,52,60,6539.432406646326
235,60,52,7051.616872356585
236,53,57,1208.3430343153648
237,57,53,1188.2868905963742
238,53,58,249.0018114441745
239,58,53,236.7003068421356
240,53,63,20.39529149838961
241,63,53,30.644829457712518
242,53,64,195.82595611249388
243,64,53,242.22208387035295
244,54,60,1168.390031714635
245,60,54,1264.5567188850143
246,55,56,980.0309822727394
247,56,55,813.173579633654
248,55,61,6033.250123213858
249,61,55,6829.570957009481
250,56,57,896.2743788326609
251,57,56,871.5690562259716
252,56,59,437.522510643987
253,59,56,462.83374486107414
254,56,61,1588.60420769114
255,61,56,1361.5632076146283
256,57,58,0.0
257,58,57,0.0
258,57,59,101.5216418255467
259,59,57,94.02502727890557
260,57,64,2591.13080791687
261,64,57,2742.580666969813
262,59,65,3106.924247893951
263,65,59,3116.2689111219197
